file_name,bbox,image_id,race,age,emotion,gender,skintone,masked
49074608.jpg,"[342, 790, 302, 409]",485,Mongoloid,Kid,Happiness,Male,light,unmasked
63701630.jpg,"[774, 244, 374, 518]",802,Mongoloid,Senior,Neutral,Male,mid-light,unmasked
50869636.jpg,"[663, 195, 188, 237]",522,Mongoloid,40-50s,Happiness,Male,light,unmasked
81768353.jpg,"[792, 321, 423, 601]",1414,Mongoloid,Baby,Sadness,Male,light,unmasked
66790091.jpg,"[629, 393, 319, 437]",899,Mongoloid,Kid,Happiness,Female,light,unmasked
41766113.jpg,"[853, 406, 154, 205]",301,Mongoloid,40-50s,Neutral,Female,mid-light,unmasked
50009958.jpg,"[489, 212, 319, 435]",506,Mongoloid,40-50s,Happiness,Female,light,unmasked
image_839.jpg,"[260, 210, 530, 670]",2136,Mongoloid,Baby,Happiness,Male,light,unmasked
76578894.jpg,"[882, 474, 152, 197]",1242,Mongoloid,Baby,Neutral,Female,light,unmasked
image_10251.jpg,"[228, 169, 582, 814]",1754,Mongoloid,20-30s,Happiness,Male,light,unmasked
59185528.jpg,"[529, 442, 263, 317]",641,Mongoloid,Kid,Happiness,Female,light,unmasked
69934550.jpg,"[552, 184, 214, 292]",1009,Mongoloid,20-30s,Happiness,Female,light,unmasked
69512122.jpg,"[787, 132, 278, 339]",1000,Negroid,40-50s,Surprise,Female,mid-light,unmasked
image_5943.jpg,"[245, 173, 561, 757]",2013,Mongoloid,40-50s,Neutral,Male,light,unmasked
91893621.jpg,"[977, 579, 168, 226]",1664,Mongoloid,40-50s,Happiness,Female,light,unmasked
46253307.jpg,"[1000, 430, 169, 256]",400,Negroid,Kid,Neutral,Female,mid-dark,unmasked
82900603.jpg,"[845, 221, 490, 507]",1453,Mongoloid,Baby,Happiness,Female,light,unmasked
46883284.jpg,"[948, 190, 181, 244]",420,Mongoloid,20-30s,Happiness,Female,light,unmasked
95861632.jpg,"[1041, 440, 223, 296]",1718,Mongoloid,40-50s,Happiness,Female,light,unmasked
image_5200.jpg,"[239, 187, 532, 726]",1979,Mongoloid,40-50s,Neutral,Female,mid-light,unmasked
image_3671.jpg,"[254, 253, 512, 711]",1909,Mongoloid,40-50s,Neutral,Male,mid-light,unmasked
image_8042.jpg,"[179, 148, 578, 813]",2119,Mongoloid,20-30s,Neutral,Male,light,unmasked
image_8056.jpg,"[214, 174, 578, 803]",2120,Mongoloid,40-50s,Neutral,Female,light,unmasked
100147591.jpg,"[1148, 458, 235, 308]",1,Mongoloid,20-30s,Neutral,Female,light,unmasked
84481181.jpg,"[1167, 291, 311, 456]",1500,Mongoloid,Senior,Sadness,Male,light,unmasked
61565007.jpg,"[898, 167, 175, 288]",715,Mongoloid,20-30s,Happiness,Male,light,unmasked
61296471.jpg,"[685, 299, 255, 381]",708,Negroid,Senior,Neutral,Male,mid-dark,unmasked
