file_name,bbox,image_id,race,age,emotion,gender,skintone,masked
10003832.jpg,"[584.1895944369563, 301.32785213219023, 265.7472074173906, 325.54338524217644]",1,Mongoloid,20-30s,Anger,Male,mid-light,unmasked
10005259.jpg,"[1131.1132364709713, 312.5498771883628, 285.1000631711058, 385.9086669006094]",2,Mongoloid,20-30s,Neutral,Male,light,unmasked
10005527.jpg,"[548.0171526364226, 265.9999999999995, 246.98076825612836, 243.99999999999793]",3,Mongoloid,20-30s,Sadness,Female,mid-light,unmasked
100086002.jpg,"[900.5677208085174, 57.13482704531668, 163.8486494558082, 251.9092805776208]",4,Mongoloid,20-30s,Neutral,Female,light,unmasked
100148503.jpg,"[862.5207825161339, 478.9999999999999, 210.26405827954574, 283.86536210431444]",5,Caucasian,20-30s,Happiness,Female,light,unmasked
100160656.jpg,"[604.5037996914427, 252.5292161906377, 207.01519876576998, 267.495826258479]",6,Mongoloid,40-50s,Happiness,Female,light,unmasked
10017152.jpg,"[1297.0000000000034, 426.3615279433189, 161.35407954224436, 133.38397793537962]",7,Mongoloid,20-30s,Happiness,Female,light,unmasked
100197130.jpg,"[848.7156040962403, 130.99999999999994, 164.01684641511778, 232.86899307005868]",8,Caucasian,20-30s,Happiness,Female,light,unmasked
100216956.jpg,"[1425.766643192414, 193.89415409437586, 131.90518057077395, 189.70957066730165]",9,Caucasian,20-30s,Happiness,Male,light,masked
100217739.jpg,"[646.7699944489382, 208.87603187406907, 426.95295423779294, 564.1239681259314]",10,Mongoloid,Senior,Anger,Male,light,unmasked
100219968.jpg,"[1417.732028883572, 132.8713565610887, 132.2679711164389, 177.55134667594834]",11,Caucasian,20-30s,Happiness,Male,light,unmasked
100221970.jpg,"[1421.7793623566786, 144.61210155140233, 148.5249057285224, 189.74910860373782]",12,Negroid,20-30s,Happiness,Male,dark,unmasked
10022588.jpg,"[897.0, 178.2916406788262, 337.00000000000006, 479.95851524821813]",13,Mongoloid,20-30s,Happiness,Male,mid-light,unmasked
10022655.jpg,"[750.0, 378.4184254729688, 238.54654295217316, 312.49722845703604]",14,Mongoloid,20-30s,Happiness,Female,light,unmasked
