file_name,height,width,bbox,age,race,masked,skintone,emotion,gender
88574223.jpg,1330,2000,"[1195.8717542870015, 269.01545213323465, 241.88040952166247, 341.1575614918547]",20-30s,Mongoloid,masked,light,Neutral,Female
5768784.jpg,1333,2000,"[832.1466745294558, 349.82992620130454, 507.58161154869873, 722.9999999999999]",20-30s,Mongoloid,unmasked,light,Anger,Female
78217423.jpg,1334,2000,"[833.7824501728649, 304.8995518724811, 381.6434462596366, 524.0439864107673]",Baby,Caucasian,unmasked,light,Neutral,Female
31672405.jpg,885,2000,"[1179.0337483859937, 199.7533143037248, 141.69500092228492, 168.33060539127467]",20-30s,Mongoloid,unmasked,light,Happiness,Female
48141346.jpg,1333,2000,"[596.0240428251324, 411.51840721262226, 230.46093040916156, 280.46581517655966]",Kid,Mongoloid,unmasked,light,Happiness,Female
39137662.jpg,1335,2000,"[1276.1848109389107, 246.49211984985735, 291.3234191430757, 280.3213651689101]",Teenager,Mongoloid,unmasked,light,Neutral,Female
59600572.jpg,2000,1333,"[509.9143231092022, 624.9999999999995, 268.2194718178608, 331.5473803415471]",Kid,Caucasian,unmasked,mid-light,Neutral,Female
image_1616.jpg,1024,1024,"[244.21951219512147, 209.05365853658517, 551.2585365853657, 753.6634146341459]",40-50s,Caucasian,unmasked,mid-light,Anger,Male
image_9061.jpg,1024,1024,"[221.44571428571425, 159.48571428571415, 574.8514285714281, 792.6400000000006]",20-30s,Caucasian,unmasked,light,Neutral,Female
87252800.jpg,1328,2000,"[1533.4814101848074, 266.00000000000097, 157.17600167864393, 223.13828616802417]",20-30s,Mongoloid,unmasked,light,Happiness,Female
45153039.jpg,1333,2000,"[804.7230253471441, 0.0, 237.1976468568411, 316.0]",20-30s,Caucasian,unmasked,light,Neutral,Male
61002384.jpg,1333,2000,"[1048.4737570190275, 655.0865605768223, 81.15263284117404, 80.16714033080902]",20-30s,Caucasian,unmasked,mid-dark,Happiness,Female
13639645.jpg,1335,2000,"[1052.782407803785, 267.1782350086929, 135.51735447940405, 161.87058491727825]",40-50s,Mongoloid,unmasked,mid-light,Neutral,Male
63724839.jpg,1334,2000,"[1130.083166879565, 253.9999999999968, 316.1004673149186, 434.9999999999976]",20-30s,Mongoloid,unmasked,mid-light,Happiness,Male
65014252.jpg,1330,2000,"[870.6889021435046, 334.38842975206666, 403.1730054586752, 477.16093455187786]",Teenager,Caucasian,unmasked,light,Neutral,Female
70293978.jpg,1333,2000,"[375.0, 193.9999999999998, 207.37980505443787, 271.9999999999999]",20-30s,Caucasian,unmasked,mid-light,Happiness,Male
94395228.jpg,2000,1333,"[645.4829964765314, 275.00000000000045, 271.5170035234704, 345.5272381517815]",20-30s,Caucasian,unmasked,mid-light,Happiness,Female
68854805.jpg,1346,2000,"[1182.1458804564172, 307.2972260864777, 183.854119543586, 246.7027739135233]",20-30s,Mongoloid,unmasked,light,Sadness,Female
78468589.jpg,1333,2000,"[634.0022505626396, 120.99999999999993, 129.9957489372339, 186.99999999999974]",20-30s,Caucasian,unmasked,mid-light,Happiness,Female
image_3246.jpg,1024,1024,"[224.76585365853694, 177.83902439024376, 525.4829268292685, 733.1609756097558]",40-50s,Caucasian,unmasked,mid-light,Happiness,Female
67928813.jpg,1333,2000,"[647.5040650406502, 139.62560975609748, 186.99186991869828, 248.37439024390224]",20-30s,Caucasian,unmasked,mid-light,Happiness,Female
71052140.jpg,1333,2000,"[830.6590410549129, 182.37104736049312, 266.5114384176293, 359.9140315736615]",20-30s,Negroid,unmasked,dark,Happiness,Male
79374655.jpg,1291,2000,"[617.0000000000002, 238.00000000000006, 353.9999999999995, 449.9999999999999]",20-30s,Mongoloid,unmasked,light,Neutral,Male
17507852.jpg,2000,2000,"[261.48685275209016, 433.9999999999989, 490.00000000000085, 612.1947312162224]",20-30s,Mongoloid,unmasked,mid-light,Happiness,Female
70919647.jpg,1125,2000,"[817.9880667326591, 279.86897347873884, 364.38544160892025, 383.73794695747745]",20-30s,Caucasian,unmasked,mid-dark,Happiness,Female
83418661.jpg,1333,2000,"[1286.6804872202788, 607.0469108288409, 254.77512300349548, 253.9530891711527]",Kid,Mongoloid,masked,mid-light,Neutral,Female
image_4288.jpg,1024,1024,"[141.67060212514724, 153.67060212514744, 594.1050767414403, 802.2408500590319]",Kid,Caucasian,unmasked,light,Neutral,Male
54374084.jpg,1333,2000,"[1018.0647591843743, 297.0000000000003, 234.98989412028084, 304.74147632689784]",Senior,Caucasian,unmasked,light,Happiness,Male
63125489.jpg,1333,2000,"[642.9992464887727, 166.00002291616917, 471.00150702245554, 621.9999006965995]",20-30s,Mongoloid,unmasked,light,Happiness,Female
image_5437.jpg,1024,1024,"[299.0602125147583, 152.62573789846488, 563.2243211334135, 814.5395513577319]",40-50s,Caucasian,unmasked,light,Neutral,Female
70991164.jpg,1125,2000,"[670.8200380330402, 268.9999999999996, 208.2485943114665, 302.77875713119477]",20-30s,Mongoloid,masked,mid-light,Neutral,Female
80304136.jpg,1333,2000,"[639.032512847634, 115.13823884087994, 613.7701139073698, 678.1626055486885]",20-30s,Caucasian,masked,mid-light,Neutral,Female
2239919.jpg,2000,1333,"[467.6504385722247, 705.9999999999976, 192.08739035694413, 250.62586417061772]",20-30s,Mongoloid,unmasked,light,Happiness,Female
72363558.jpg,1275,2000,"[624.1315811823117, 164.13544805474723, 237.3210444963999, 339.12929329613485]",20-30s,Caucasian,unmasked,light,Happiness,Female
84976092.jpg,1333,2000,"[717.5058930190386, 412.3727891156459, 328.17497733454314, 454.62721088435353]",20-30s,Caucasian,unmasked,light,Happiness,Female
74984206.jpg,1333,2000,"[1084.2278807003374, 11.42496256846078, 302.86227848598963, 388.5750374315385]",20-30s,Negroid,unmasked,dark,Neutral,Male
66806098.jpg,1334,2000,"[1172.248910289667, 236.41009722633078, 285.3199649805322, 408.435340292158]",20-30s,Mongoloid,masked,mid-light,Neutral,Female
95786301.jpg,1335,2000,"[533.6056067874044, 515.564914814655, 130.039301940875, 245.46105111119218]",20-30s,Mongoloid,unmasked,light,Happiness,Female
image_5308.jpg,1024,1024,"[254.94096812278636, 123.4899645808735, 605.0153482880755, 831.8087367178272]",20-30s,Caucasian,unmasked,light,Happiness,Female
38710777.jpg,1333,2000,"[545.8327381845453, 221.99999999999986, 369.27995998999705, 490.89490000000023]",20-30s,Mongoloid,unmasked,light,Fear,Male
76984337.jpg,1333,2000,"[392.99274818702867, 62.99999999999933, 405.0067516879076, 449.99999999998687]",20-30s,Caucasian,unmasked,light,Anger,Male
64804476.jpg,2000,1333,"[494.7418408221539, 255.99999999999972, 214.76515275885728, 346.9999999999998]",20-30s,Caucasian,unmasked,light,Happiness,Female
1353853.jpg,2000,1333,"[473.90311380936026, 365.05003149973425, 114.09688619063938, 168.84661206712892]",20-30s,Mongoloid,unmasked,light,Happiness,Female
65305542.jpg,2000,1333,"[692.1387219148389, 522.6912471719194, 130.04091939454233, 155.6273836457934]",20-30s,Caucasian,unmasked,light,Neutral,Male
77052544.jpg,1333,2000,"[1025.0032508127035, 75.00000000000018, 385.00550137534424, 574.9999999999994]",20-30s,Mongoloid,masked,light,Neutral,Female
5957601.jpg,2000,1333,"[694.8961695363539, 280.9021117534136, 158.3792339072699, 189.96065221575924]",20-30s,Mongoloid,unmasked,light,Happiness,Female
21937554.jpg,1333,2000,"[930.823075419124, 446.99999999999966, 171.2246189941033, 225.22631283935496]",20-30s,Mongoloid,unmasked,light,Neutral,Female
87856307.jpg,1333,2000,"[1130.6268401287105, 252.86017932117775, 225.37315987128815, 309.90862671668924]",20-30s,Caucasian,unmasked,light,Happiness,Male
42510398.jpg,1333,2000,"[788.4398764980272, 359.28925619832836, 432.356822676733, 547.7107438016687]",Kid,Mongoloid,unmasked,light,Neutral,Male
